Threshold	Number of Detections	Detection Times (UTC)
0.09099191426941335	16	2023-08-27_05.35.48
0.09099191426941335	16	2023-08-27_05.58.12
0.09099191426941335	16	2023-08-27_06.29.45
0.09099191426941335	16	2023-08-27_10.10.06
0.09099191426941335	16	2023-08-27_10.10.44
0.09099191426941335	16	2023-08-27_10.33.31
0.09099191426941335	16	2023-08-27_10.36.29
0.09099191426941335	16	2023-08-27_10.57.19
0.09099191426941335	16	2023-08-27_11.16.15
0.09099191426941335	16	2023-08-27_11.34.56
0.09099191426941335	16	2023-08-27_12.41.02
0.09099191426941335	16	2023-08-28_08.14.17
0.09099191426941335	16	2023-08-28_21.51.30
0.09099191426941335	16	2023-08-29_05.25.15
0.09099191426941335	16	2023-08-29_05.25.17
0.09099191426941335	16	2023-08-29_07.44.24
0.22747978567353336	2	2023-08-29_05.25.15
0.22747978567353336	2	2023-08-29_05.25.17
0.4549595713470667	1	2023-08-29_05.25.17
