Threshold	Number of Detections	Detection Times (UTC)
0.09038566826682705	11	2023-08-27_05.35.48
0.09038566826682705	11	2023-08-27_09.57.50
0.09038566826682705	11	2023-08-27_10.10.06
0.09038566826682705	11	2023-08-27_10.10.44
0.09038566826682705	11	2023-08-27_10.33.31
0.09038566826682705	11	2023-08-27_10.57.19
0.09038566826682705	11	2023-08-27_11.34.54
0.09038566826682705	11	2023-08-27_11.37.19
0.09038566826682705	11	2023-08-27_12.41.02
0.09038566826682705	11	2023-08-28_08.14.17
0.09038566826682705	11	2023-08-30_15.57.20
0.22596417066706762	1	2023-08-30_15.57.20
0.45192834133413523	1	2023-08-30_15.57.21
