Threshold	Number of Detections	Detection Times (UTC)
0.5	1	2023-08-30_15.58.09
0.05	41	2023-08-27_05.36.07
0.05	41	2023-08-27_05.58.29
0.05	41	2023-08-27_05.58.31
0.05	41	2023-08-27_06.30.05
0.05	41	2023-08-27_06.54.55
0.05	41	2023-08-27_09.58.10
0.05	41	2023-08-27_10.10.27
0.05	41	2023-08-27_10.11.05
0.05	41	2023-08-27_10.26.18
0.05	41	2023-08-27_10.33.52
0.05	41	2023-08-27_10.36.50
0.05	41	2023-08-27_10.57.40
0.05	41	2023-08-27_11.16.35
0.05	41	2023-08-27_11.16.36
0.05	41	2023-08-27_11.35.15
0.05	41	2023-08-27_11.37.40
0.05	41	2023-08-27_11.46.20
0.05	41	2023-08-27_11.55.19
0.05	41	2023-08-27_12.15.26
0.05	41	2023-08-27_12.37.00
0.05	41	2023-08-27_12.41.24
0.05	41	2023-08-27_13.26.06
0.05	41	2023-08-27_14.42.14
0.05	41	2023-08-27_20.07.50
0.05	41	2023-08-28_01.25.11
0.05	41	2023-08-28_02.44.59
0.05	41	2023-08-28_04.28.24
0.05	41	2023-08-28_08.14.46
0.05	41	2023-08-28_18.48.02
0.05	41	2023-08-28_21.52.01
0.05	41	2023-08-28_21.52.03
0.05	41	2023-08-29_03.08.01
0.05	41	2023-08-29_05.25.51
0.05	41	2023-08-29_07.45.01
0.05	41	2023-08-29_10.21.48
0.05	41	2023-08-30_00.51.13
0.05	41	2023-08-30_05.59.53
0.05	41	2023-08-30_06.13.29
0.05	41	2023-08-30_15.58.08
0.05	41	2023-08-31_15.14.19
0.05	41	2023-08-31_18.25.30
0.04	60	2023-08-27_04.26.59
0.04	60	2023-08-27_05.36.06
0.04	60	2023-08-27_05.36.07
0.04	60	2023-08-27_05.58.29
0.04	60	2023-08-27_05.58.31
0.04	60	2023-08-27_06.30.05
0.04	60	2023-08-27_06.54.55
0.04	60	2023-08-27_06.54.57
0.04	60	2023-08-27_09.58.10
0.04	60	2023-08-27_09.58.12
0.04	60	2023-08-27_10.10.27
0.04	60	2023-08-27_10.10.44
0.04	60	2023-08-27_10.11.05
0.04	60	2023-08-27_10.26.18
0.04	60	2023-08-27_10.33.52
0.04	60	2023-08-27_10.36.50
0.04	60	2023-08-27_10.57.38
0.04	60	2023-08-27_10.57.40
0.04	60	2023-08-27_11.16.35
0.04	60	2023-08-27_11.16.36
0.04	60	2023-08-27_11.35.15
0.04	60	2023-08-27_11.35.17
0.04	60	2023-08-27_11.35.24
0.04	60	2023-08-27_11.37.40
