X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.96751,46.75577,0,0,77,,,,,,,,,,,,,,,,,,,,,,,
-121.96717,46.7557,0,0,78,,,,,,,,,,,,,,,,,,,,,,,
-121.96678,46.75562,0,0,79,,,,,,,,,,,,,,,,,,,,,,,
-121.96642,46.75553,0,0,80,,,,,,,,,,,,,,,,,,,,,,,
-121.96536,46.75532,0,0,81,,,,,,,,,,,,,,,,,,,,,,,
-121.96468,46.75521,0,0,82,,,,,,,,,,,,,,,,,,,,,,,
-121.96437,46.75517,0,0,83,,,,,,,,,,,,,,,,,,,,,,,
-121.96403,46.75515,0,0,84,,,,,,,,,,,,,,,,,,,,,,,
-121.96372,46.75513,0,0,85,,,,,,,,,,,,,,,,,,,,,,,
-121.9634,46.75511,0,0,86,,,,,,,,,,,,,,,,,,,,,,,
-121.96281,46.75511,0,0,87,,,,,,,,,,,,,,,,,,,,,,,
-121.96239,46.75513,0,0,88,,,,,,,,,,,,,,,,,,,,,,,
-121.96235,46.75513,0,0,89,,,,,,,,,,,,,,,,,,,,,,,
-121.96227,46.75513,0,0,90,,,,,,,,,,,,,,,,,,,,,,,
-121.96168,46.75517,0,0,91,,,,,,,,,,,,,,,,,,,,,,,
-121.96146,46.75518,0,0,92,,,,,,,,,,,,,,,,,,,,,,,
-121.96111,46.75521,0,0,93,,,,,,,,,,,,,,,,,,,,,,,
-121.96081,46.75524,0,0,94,,,,,,,,,,,,,,,,,,,,,,,
-121.95976,46.7555,0,0,95,,,,,,,,,,,,,,,,,,,,,,,
-121.95928,46.75561,0,0,96,,,,,,,,,,,,,,,,,,,,,,,
-121.95874,46.75571,0,0,97,,,,,,,,,,,,,,,,,,,,,,,
-121.95836,46.75574,0,0,98,,,,,,,,,,,,,,,,,,,,,,,
-121.95817,46.75575,0,0,99,,,,,,,,,,,,,,,,,,,,,,,
-121.95795,46.75575,0,0,100,,,,,,,,,,,,,,,,,,,,,,,
-121.95714,46.75572,0,0,101,,,,,,,,,,,,,,,,,,,,,,,
-121.95586,46.75563,0,0,102,,,,,,,,,,,,,,,,,,,,,,,
-121.95395,46.75552,0,0,103,,,,,,,,,,,,,,,,,,,,,,,
-121.95332,46.75548,0,0,104,,,,,,,,,,,,,,,,,,,,,,,
-121.953,46.75546,0,0,105,,,,,,,,,,,,,,,,,,,,,,,
-121.95272,46.75546,0,0,106,,,,,,,,,,,,,,,,,,,,,,,
-121.95212,46.75546,0,0,107,,,,,,,,,,,,,,,,,,,,,,,
-121.95177,46.75548,0,0,108,,,,,,,,,,,,,,,,,,,,,,,
-121.95162,46.75548,0,0,109,,,,,,,,,,,,,,,,,,,,,,,
-121.95118,46.75549,0,0,110,,,,,,,,,,,,,,,,,,,,,,,
-121.95036,46.75547,0,0,111,,,,,,,,,,,,,,,,,,,,,,,
-121.95016,46.75546,0,0,112,,,,,,,,,,,,,,,,,,,,,,,
-121.95013,46.75545,0,0,113,,,,,,,,,,,,,,,,,,,,,,,
-121.94955,46.7554,0,0,114,,,,,,,,,,,,,,,,,,,,,,,
-121.94887,46.75532,0,0,115,,,,,,,,,,,,,,,,,,,,,,,
-121.94882,46.75531,0,0,116,,,,,,,,,,,,,,,,,,,,,,,
-121.94824,46.75522,0,0,117,,,,,,,,,,,,,,,,,,,,,,,
-121.94769,46.75511,0,0,118,,,,,,,,,,,,,,,,,,,,,,,
-121.94727,46.75501,0,0,119,,,,,,,,,,,,,,,,,,,,,,,
-121.9466,46.75484,0,0,120,,,,,,,,,,,,,,,,,,,,,,,
-121.94622,46.75473,0,0,121,,,,,,,,,,,,,,,,,,,,,,,
-121.94595,46.75465,0,0,122,,,,,,,,,,,,,,,,,,,,,,,
