Threshold	Number of Detections	Detection Times (UTC)
0.09386897984859321	12	2023-08-27_05.35.50
0.09386897984859321	12	2023-08-27_05.58.12
0.09386897984859321	12	2023-08-27_10.10.06
0.09386897984859321	12	2023-08-27_10.10.44
0.09386897984859321	12	2023-08-27_10.33.31
0.09386897984859321	12	2023-08-27_10.57.19
0.09386897984859321	12	2023-08-27_11.16.15
0.09386897984859321	12	2023-08-27_12.41.02
0.09386897984859321	12	2023-08-28_04.27.57
0.09386897984859321	12	2023-08-28_08.14.17
0.09386897984859321	12	2023-08-28_18.47.29
0.09386897984859321	12	2023-08-28_21.51.30
0.234672449621483	1	2023-08-28_18.47.29
0.469344899242966	1	2023-08-28_18.47.29
