Threshold	Number of Detections	Detection Times (UTC)
0.08612755893080759	27	2023-08-27_05.35.49
0.08612755893080759	27	2023-08-27_05.58.10
0.08612755893080759	27	2023-08-27_06.29.46
0.08612755893080759	27	2023-08-27_06.54.36
0.08612755893080759	27	2023-08-27_09.57.50
0.08612755893080759	27	2023-08-27_10.10.05
0.08612755893080759	27	2023-08-27_10.10.07
0.08612755893080759	27	2023-08-27_10.10.44
0.08612755893080759	27	2023-08-27_10.33.31
0.08612755893080759	27	2023-08-27_10.57.19
0.08612755893080759	27	2023-08-27_11.16.13
0.08612755893080759	27	2023-08-27_11.34.54
0.08612755893080759	27	2023-08-27_11.37.19
0.08612755893080759	27	2023-08-27_12.36.39
0.08612755893080759	27	2023-08-27_12.41.03
0.08612755893080759	27	2023-08-27_13.25.44
0.08612755893080759	27	2023-08-27_14.02.01
0.08612755893080759	27	2023-08-28_01.24.45
0.08612755893080759	27	2023-08-28_02.44.32
0.08612755893080759	27	2023-08-28_04.27.57
0.08612755893080759	27	2023-08-28_08.14.18
0.08612755893080759	27	2023-08-28_18.47.30
0.08612755893080759	27	2023-08-28_21.51.28
0.08612755893080759	27	2023-08-29_05.05.46
0.08612755893080759	27	2023-08-29_05.25.16
0.08612755893080759	27	2023-08-29_07.44.25
0.08612755893080759	27	2023-08-31_15.13.22
0.21531889732701895	5	2023-08-27_05.35.49
0.21531889732701895	5	2023-08-27_10.10.05
0.21531889732701895	5	2023-08-27_11.16.13
0.21531889732701895	5	2023-08-27_11.34.55
0.21531889732701895	5	2023-08-28_21.51.28
0.4306377946540379	1	2023-08-28_21.51.28
