Threshold	Number of Detections	Detection Times (UTC)
0.5	1	2023-08-28_08.14.46
0.05	54	2023-08-27_05.36.08
0.05	54	2023-08-27_05.58.30
0.05	54	2023-08-27_05.58.31
0.05	54	2023-08-27_06.17.36
0.05	54	2023-08-27_06.30.05
0.05	54	2023-08-27_06.54.56
0.05	54	2023-08-27_09.58.11
0.05	54	2023-08-27_10.10.24
0.05	54	2023-08-27_10.10.25
0.05	54	2023-08-27_10.10.27
0.05	54	2023-08-27_10.11.05
0.05	54	2023-08-27_10.33.50
0.05	54	2023-08-27_10.33.52
0.05	54	2023-08-27_10.36.50
0.05	54	2023-08-27_10.57.40
0.05	54	2023-08-27_11.16.33
0.05	54	2023-08-27_11.16.35
0.05	54	2023-08-27_11.16.36
0.05	54	2023-08-27_11.35.15
0.05	54	2023-08-27_11.37.40
0.05	54	2023-08-27_11.38.02
0.05	54	2023-08-27_11.55.19
0.05	54	2023-08-27_12.15.26
0.05	54	2023-08-27_12.37.01
0.05	54	2023-08-27_12.41.22
0.05	54	2023-08-27_12.41.24
0.05	54	2023-08-27_12.50.26
0.05	54	2023-08-27_13.26.06
0.05	54	2023-08-27_14.01.42
0.05	54	2023-08-27_14.02.23
0.05	54	2023-08-27_14.42.14
0.05	54	2023-08-27_20.07.50
0.05	54	2023-08-28_01.25.11
0.05	54	2023-08-28_01.58.59
0.05	54	2023-08-28_02.44.59
0.05	54	2023-08-28_04.28.22
0.05	54	2023-08-28_04.28.24
0.05	54	2023-08-28_08.14.44
0.05	54	2023-08-28_08.14.46
0.05	54	2023-08-28_10.25.24
0.05	54	2023-08-28_12.58.34
0.05	54	2023-08-28_18.48.02
0.05	54	2023-08-28_21.52.02
0.05	54	2023-08-28_22.11.06
0.05	54	2023-08-29_03.08.01
0.05	54	2023-08-29_05.06.22
0.05	54	2023-08-29_05.25.52
0.05	54	2023-08-29_05.49.51
0.05	54	2023-08-29_07.45.02
0.05	54	2023-08-30_05.59.52
0.05	54	2023-08-30_06.13.29
0.05	54	2023-08-30_15.58.09
0.05	54	2023-08-31_15.14.19
0.05	54	2023-08-31_18.25.30
0.04	70	2023-08-27_05.36.06
0.04	70	2023-08-27_05.36.07
0.04	70	2023-08-27_05.36.09
0.04	70	2023-08-27_05.58.29
0.04	70	2023-08-27_05.58.31
0.04	70	2023-08-27_06.17.36
0.04	70	2023-08-27_06.30.05
0.04	70	2023-08-27_06.54.56
0.04	70	2023-08-27_09.58.11
0.04	70	2023-08-27_10.10.24
0.04	70	2023-08-27_10.10.25
0.04	70	2023-08-27_10.10.27
0.04	70	2023-08-27_10.11.03
0.04	70	2023-08-27_10.11.05
0.04	70	2023-08-27_10.26.18
0.04	70	2023-08-27_10.33.50
0.04	70	2023-08-27_10.33.52
0.04	70	2023-08-27_10.36.50
0.04	70	2023-08-27_10.57.40
0.04	70	2023-08-27_11.16.33
0.04	70	2023-08-27_11.16.35
0.04	70	2023-08-27_11.16.36
0.04	70	2023-08-27_11.35.15
0.04	70	2023-08-27_11.35.15
0.04	70	2023-08-27_11.35.17
0.04	70	2023-08-27_11.35.20
0.04	70	2023-08-27_11.37.40
0.04	70	2023-08-27_11.38.02
0.04	70	2023-08-27_11.55.19
0.04	70	2023-08-27_12.15.26
0.04	70	2023-08-27_12.37.01
0.04	70	2023-08-27_12.41.22
0.04	70	2023-08-27_12.41.24
0.04	70	2023-08-27_12.50.26
0.04	70	2023-08-27_13.26.06
0.04	70	2023-08-27_14.01.42
0.04	70	2023-08-27_14.02.23
0.04	70	2023-08-27_14.42.14
0.04	70	2023-08-27_20.07.50
0.04	70	2023-08-28_01.25.11
0.04	70	2023-08-28_01.58.59
0.04	70	2023-08-28_02.44.59
0.04	70	2023-08-28_04.28.22
0.04	70	2023-08-28_04.28.24
0.04	70	2023-08-28_05.47.50
0.04	70	2023-08-28_06.21.48
0.04	70	2023-08-28_06.32.58
0.04	70	2023-08-28_08.14.44
0.04	70	2023-08-28_08.14.46
0.04	70	2023-08-28_10.25.24
0.04	70	2023-08-28_12.58.34
0.04	70	2023-08-28_18.48.02
0.04	70	2023-08-28_21.52.02
0.04	70	2023-08-28_21.52.03
0.04	70	2023-08-28_22.11.06
0.04	70	2023-08-28_22.21.25
0.04	70	2023-08-29_03.08.01
0.04	70	2023-08-29_05.06.22
0.04	70	2023-08-29_05.25.52
0.04	70	2023-08-29_05.49.51
0.04	70	2023-08-29_07.39.59
0.04	70	2023-08-29_07.45.02
0.04	70	2023-08-29_10.21.46
0.04	70	2023-08-29_10.54.39
0.04	70	2023-08-30_05.59.51
0.04	70	2023-08-30_05.59.53
0.04	70	2023-08-30_06.13.29
0.04	70	2023-08-30_15.58.09
0.04	70	2023-08-31_15.14.19
0.04	70	2023-08-31_18.25.30
0.045	63	2023-08-27_05.36.07
0.045	63	2023-08-27_05.36.07
0.045	63	2023-08-27_05.36.09
0.045	63	2023-08-27_05.58.30
0.045	63	2023-08-27_05.58.31
0.045	63	2023-08-27_06.17.36
0.045	63	2023-08-27_06.30.05
0.045	63	2023-08-27_06.54.56
0.045	63	2023-08-27_09.58.11
0.045	63	2023-08-27_10.10.24
0.045	63	2023-08-27_10.10.25
0.045	63	2023-08-27_10.10.27
0.045	63	2023-08-27_10.11.03
0.045	63	2023-08-27_10.11.05
0.045	63	2023-08-27_10.33.50
0.045	63	2023-08-27_10.33.52
0.045	63	2023-08-27_10.36.50
0.045	63	2023-08-27_10.57.40
0.045	63	2023-08-27_11.16.33
0.045	63	2023-08-27_11.16.35
0.045	63	2023-08-27_11.16.36
0.045	63	2023-08-27_11.35.15
0.045	63	2023-08-27_11.35.17
0.045	63	2023-08-27_11.35.20
0.045	63	2023-08-27_11.37.40
0.045	63	2023-08-27_11.38.02
0.045	63	2023-08-27_11.55.19
0.045	63	2023-08-27_12.15.26
0.045	63	2023-08-27_12.37.01
0.045	63	2023-08-27_12.41.22
0.045	63	2023-08-27_12.41.24
0.045	63	2023-08-27_12.50.26
0.045	63	2023-08-27_13.26.06
0.045	63	2023-08-27_14.01.42
0.045	63	2023-08-27_14.02.23
0.045	63	2023-08-27_14.42.14
0.045	63	2023-08-27_20.07.50
0.045	63	2023-08-28_01.25.11
0.045	63	2023-08-28_01.58.59
0.045	63	2023-08-28_02.44.59
0.045	63	2023-08-28_04.28.22
0.045	63	2023-08-28_04.28.24
0.045	63	2023-08-28_06.21.48
0.045	63	2023-08-28_08.14.44
0.045	63	2023-08-28_08.14.46
0.045	63	2023-08-28_10.25.24
0.045	63	2023-08-28_12.58.34
0.045	63	2023-08-28_18.48.02
0.045	63	2023-08-28_21.52.02
0.045	63	2023-08-28_21.52.03
0.045	63	2023-08-28_22.11.06
0.045	63	2023-08-29_03.08.01
0.045	63	2023-08-29_05.06.22
0.045	63	2023-08-29_05.25.52
0.045	63	2023-08-29_05.49.51
0.045	63	2023-08-29_07.45.02
0.045	63	2023-08-29_10.54.39
0.045	63	2023-08-30_05.59.51
0.045	63	2023-08-30_05.59.53
0.045	63	2023-08-30_06.13.29
0.045	63	2023-08-30_15.58.09
0.045	63	2023-08-31_15.14.19
0.045	63	2023-08-31_18.25.30
