Threshold	Number of Detections	Detection Times (UTC)
0.08364700506970554	30	2023-08-27_05.35.49
0.08364700506970554	30	2023-08-27_05.58.10
0.08364700506970554	30	2023-08-27_06.29.46
0.08364700506970554	30	2023-08-27_06.54.36
0.08364700506970554	30	2023-08-27_09.57.50
0.08364700506970554	30	2023-08-27_10.10.05
0.08364700506970554	30	2023-08-27_10.10.45
0.08364700506970554	30	2023-08-27_10.33.30
0.08364700506970554	30	2023-08-27_10.57.19
0.08364700506970554	30	2023-08-27_11.16.13
0.08364700506970554	30	2023-08-27_11.34.55
0.08364700506970554	30	2023-08-27_11.37.19
0.08364700506970554	30	2023-08-27_11.37.40
0.08364700506970554	30	2023-08-27_12.36.39
0.08364700506970554	30	2023-08-27_13.25.44
0.08364700506970554	30	2023-08-27_14.02.01
0.08364700506970554	30	2023-08-28_01.24.45
0.08364700506970554	30	2023-08-28_01.58.33
0.08364700506970554	30	2023-08-28_02.44.32
0.08364700506970554	30	2023-08-28_08.14.16
0.08364700506970554	30	2023-08-28_08.14.18
0.08364700506970554	30	2023-08-28_12.58.03
0.08364700506970554	30	2023-08-28_18.47.30
0.08364700506970554	30	2023-08-28_21.51.28
0.08364700506970554	30	2023-08-28_22.10.32
0.08364700506970554	30	2023-08-29_05.25.16
0.08364700506970554	30	2023-08-29_05.49.15
0.08364700506970554	30	2023-08-29_07.44.25
0.08364700506970554	30	2023-08-30_15.57.21
0.08364700506970554	30	2023-08-31_15.13.22
0.20911751267426387	10	2023-08-27_05.35.49
0.20911751267426387	10	2023-08-27_05.58.11
0.20911751267426387	10	2023-08-27_09.57.50
0.20911751267426387	10	2023-08-27_10.10.05
0.20911751267426387	10	2023-08-27_10.57.19
0.20911751267426387	10	2023-08-27_11.16.14
0.20911751267426387	10	2023-08-27_11.34.55
0.20911751267426387	10	2023-08-28_08.14.18
0.20911751267426387	10	2023-08-28_21.51.28
0.20911751267426387	10	2023-08-29_07.44.25
0.41823502534852774	1	2023-08-28_08.14.18
