Threshold	Number of Detections	Detection Times (UTC)
0.08982420471057968	12	2023-08-27_05.35.48
0.08982420471057968	12	2023-08-27_10.10.07
0.08982420471057968	12	2023-08-27_10.10.44
0.08982420471057968	12	2023-08-27_10.33.31
0.08982420471057968	12	2023-08-27_10.57.19
0.08982420471057968	12	2023-08-27_11.34.54
0.08982420471057968	12	2023-08-27_11.37.19
0.08982420471057968	12	2023-08-28_08.14.17
0.08982420471057968	12	2023-08-30_05.59.07
0.08982420471057968	12	2023-08-30_05.59.08
0.08982420471057968	12	2023-08-30_06.12.44
0.08982420471057968	12	2023-08-30_15.57.21
0.2245605117764492	2	2023-08-30_05.59.07
0.2245605117764492	2	2023-08-30_05.59.08
0.4491210235528984	1	2023-08-30_05.59.08
