Threshold	Number of Detections	Detection Times (UTC)
0.09195665935986	13	2023-08-27_05.58.12
0.09195665935986	13	2023-08-27_06.29.45
0.09195665935986	13	2023-08-27_10.10.06
0.09195665935986	13	2023-08-27_10.10.44
0.09195665935986	13	2023-08-27_10.33.31
0.09195665935986	13	2023-08-27_10.57.19
0.09195665935986	13	2023-08-27_11.16.15
0.09195665935986	13	2023-08-27_11.34.56
0.09195665935986	13	2023-08-27_11.37.18
0.09195665935986	13	2023-08-27_12.41.02
0.09195665935986	13	2023-08-28_04.27.57
0.09195665935986	13	2023-08-28_08.14.17
0.09195665935986	13	2023-08-28_12.58.05
0.22989164839964998	1	2023-08-28_12.58.05
0.45978329679929997	1	2023-08-28_12.58.05
