Threshold	Number of Detections	Detection Times (UTC)
0.5	1	2023-08-28_10.25.24
0.05	15	2023-08-27_06.30.05
0.05	15	2023-08-27_10.10.27
0.05	15	2023-08-27_10.11.05
0.05	15	2023-08-27_10.26.18
0.05	15	2023-08-27_10.33.52
0.05	15	2023-08-27_10.57.40
0.05	15	2023-08-27_11.16.36
0.05	15	2023-08-27_11.35.16
0.05	15	2023-08-27_11.37.40
0.05	15	2023-08-27_12.41.24
0.05	15	2023-08-28_04.28.24
0.05	15	2023-08-28_08.14.46
0.05	15	2023-08-28_10.25.24
0.05	15	2023-08-29_07.45.01
0.05	15	2023-08-31_15.14.19
0.04	25	2023-08-27_05.36.08
0.04	25	2023-08-27_05.58.31
0.04	25	2023-08-27_06.30.05
0.04	25	2023-08-27_10.10.27
0.04	25	2023-08-27_10.11.05
0.04	25	2023-08-27_10.26.18
0.04	25	2023-08-27_10.33.52
0.04	25	2023-08-27_10.57.40
0.04	25	2023-08-27_11.16.36
0.04	25	2023-08-27_11.35.16
0.04	25	2023-08-27_11.37.40
0.04	25	2023-08-27_11.38.03
0.04	25	2023-08-27_12.15.26
0.04	25	2023-08-27_12.37.00
0.04	25	2023-08-27_12.41.24
0.04	25	2023-08-27_13.26.06
0.04	25	2023-08-27_20.07.50
0.04	25	2023-08-28_01.25.11
0.04	25	2023-08-28_04.28.24
0.04	25	2023-08-28_08.14.46
0.04	25	2023-08-28_10.25.23
0.04	25	2023-08-28_21.52.03
0.04	25	2023-08-29_05.25.51
0.04	25	2023-08-29_07.45.01
0.04	25	2023-08-31_15.14.19
0.045	21	2023-08-27_05.36.08
0.045	21	2023-08-27_06.30.05
0.045	21	2023-08-27_10.10.27
0.045	21	2023-08-27_10.11.05
0.045	21	2023-08-27_10.26.18
0.045	21	2023-08-27_10.33.52
0.045	21	2023-08-27_10.57.40
0.045	21	2023-08-27_11.16.36
0.045	21	2023-08-27_11.35.16
0.045	21	2023-08-27_11.37.40
0.045	21	2023-08-27_12.37.00
0.045	21	2023-08-27_12.41.24
0.045	21	2023-08-27_13.26.06
0.045	21	2023-08-27_20.07.50
0.045	21	2023-08-28_01.25.11
0.045	21	2023-08-28_04.28.24
0.045	21	2023-08-28_08.14.46
0.045	21	2023-08-28_10.25.24
0.045	21	2023-08-28_21.52.03
0.045	21	2023-08-29_07.45.01
0.045	21	2023-08-31_15.14.19
