Detection Time (UTC),Longitude,Latitude,Folder
2023-08-27 05:36:05,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 05:58:33,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 06:30:09,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 09:58:12,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 10:10:27,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 10:11:09,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 10:33:52,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 10:57:44,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 11:16:38,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 11:35:17,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-27 13:26:07,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-28 01:25:12,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-28 01:58:54,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-28 01:59:04,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-28 08:14:48,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-28 21:52:01,-121.951,46.7825,2023-08-28_01-58-56.490
2023-08-29 07:45:01,-121.951,46.7825,2023-08-28_01-58-56.490
