Unique Detection Time (UTC),Duplicate Detections (UTC),Match-PNSN
2023-08-27 13:26:07,"2023-08-27_13-26-03.210, 2023-08-27_10-36-46.980, 2023-08-29_05-25-49.600, 2023-08-27_14-02-20.400, 2023-08-28_21-51-59.670, 2023-08-27_10-26-15.050, 2023-08-27_05-58-27.600, 2023-08-27_10-33-48.930, 2023-08-27_10-57-37.070, 2023-08-28_22-11-03.590, 2023-08-27_12-41-20.950, 2023-08-28_01-58-56.490, 2023-08-30_06-13-26.140, 2023-08-27_11-35-13.520, 2023-08-27_11-46-16.910, 2023-08-27_11-37-37.230, 2023-08-27_11-16-32.730, 2023-08-27_09-58-08.540, 2023-08-29_03-07-57.930, 2023-08-27_06-54-53.700, 2023-08-29_05-49-48.530, 2023-08-30_15-58-06.050, 2023-08-29_07-44-59.430, 2023-08-30_05-59-49.670, 2023-08-27_10-10-23.770, 2023-08-28_08-14-42.960, 2023-08-28_18-47-59.200, 2023-08-28_12-58-31.740, 2023-08-28_04-28-20.740, 2023-08-27_06-30-01.970, 2023-08-27_11-37-59.620, 2023-08-28_01-25-08.290, 2023-08-27_05-36-05.360, 2023-08-27_12-36-58.390",Yes
2023-08-27 13:27:22,"2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770",No
2023-08-27 14:00:24,"2023-08-29_07-44-59.430, 2023-08-27_05-58-27.600, 2023-08-27_05-36-05.360, 2023-08-27_10-33-48.930, 2023-08-27_10-10-23.770, 2023-08-28_08-14-42.960, 2023-08-27_06-30-01.970, 2023-08-28_21-51-59.670, 2023-08-27_10-57-37.070, 2023-08-27_11-35-13.520, 2023-08-27_13-26-03.210, 2023-08-27_12-41-20.950, 2023-08-27_11-16-32.730",No
2023-08-27 14:01:42,"2023-08-27_12-41-20.950, 2023-08-27_10-10-23.770, 2023-08-27_06-30-01.970, 2023-08-27_05-36-05.360, 2023-08-27_10-57-37.070, 2023-08-28_01-25-08.290, 2023-08-27_09-58-08.540, 2023-08-27_06-54-53.700, 2023-08-27_12-36-58.390, 2023-08-28_21-51-59.670, 2023-08-29_07-44-59.430, 2023-08-28_04-28-20.740, 2023-08-27_11-35-13.520, 2023-08-27_10-33-48.930, 2023-08-27_05-58-27.600, 2023-08-28_08-14-42.960, 2023-08-27_11-16-32.730",No
2023-08-27 14:02:20,"2023-08-29_07-44-59.430, 2023-08-28_08-14-42.960, 2023-08-29_05-25-49.600, 2023-08-28_21-51-59.670, 2023-08-27_12-36-58.390, 2023-08-27_12-41-20.950, 2023-08-27_05-36-05.360, 2023-08-27_06-54-53.700, 2023-08-27_11-37-59.620, 2023-08-27_09-58-08.540, 2023-08-27_11-35-13.520, 2023-08-27_10-10-23.770, 2023-08-27_05-58-27.600, 2023-08-27_14-02-20.400, 2023-08-27_11-16-32.730, 2023-08-27_10-57-37.070, 2023-08-27_06-30-01.970, 2023-08-27_10-33-48.930, 2023-08-27_11-37-37.230, 2023-08-28_01-25-08.290, 2023-08-27_13-26-03.210, 2023-08-28_04-28-20.740",Yes
2023-08-27 14:58:07,"2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-28_21-51-59.670",No
2023-08-27 15:13:30,"2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-28_08-14-42.960",No
2023-08-27 15:25:21,"2023-08-27_05-36-05.360, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-28_21-51-59.670, 2023-08-27_11-16-32.730",No
2023-08-27 20:07:53,"2023-08-27_20-07-47.140, 2023-08-27_06-54-53.700, 2023-08-28_21-51-59.670, 2023-08-27_10-10-23.770, 2023-08-27_09-58-08.540, 2023-08-27_12-41-20.950, 2023-08-27_10-57-37.070, 2023-08-27_05-36-05.360, 2023-08-27_11-35-13.520, 2023-08-29_07-44-59.430, 2023-08-27_11-37-59.620, 2023-08-27_10-33-48.930, 2023-08-28_04-28-20.740, 2023-08-28_08-14-42.960, 2023-08-27_11-16-32.730, 2023-08-27_05-58-27.600",Yes
2023-08-28 01:25:12,"2023-08-28_22-11-03.590, 2023-08-27_10-33-48.930, 2023-08-30_15-58-06.050, 2023-08-27_11-35-13.520, 2023-08-28_02-44-56.290, 2023-08-27_11-37-59.620, 2023-08-27_10-36-46.980, 2023-08-27_12-36-58.390, 2023-08-28_18-47-59.200, 2023-08-27_14-02-20.400, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-28_12-58-31.740, 2023-08-28_21-51-59.670, 2023-08-27_12-41-20.950, 2023-08-27_10-57-37.070, 2023-08-28_08-14-42.960, 2023-08-27_11-37-37.230, 2023-08-27_09-58-08.540, 2023-08-27_06-54-53.700, 2023-08-29_05-25-49.600, 2023-08-27_13-26-03.210, 2023-08-29_07-44-59.430, 2023-08-27_05-58-27.600, 2023-08-27_06-30-01.970, 2023-08-28_01-25-08.290, 2023-08-28_01-58-56.490, 2023-08-27_10-10-23.770, 2023-08-28_04-28-20.740",Yes
2023-08-28 01:58:54,2023-08-28_01-58-56.490,Yes
2023-08-28 01:59:04,2023-08-28_01-58-56.490,Yes
2023-08-28 02:44:54,"2023-08-27_10-10-23.770, 2023-08-28_02-44-56.290",Yes
2023-08-28 02:45:04,2023-08-28_02-44-56.290,Yes
2023-08-28 04:28:20,"2023-08-28_18-47-59.200, 2023-08-29_07-44-59.430, 2023-08-27_11-37-59.620, 2023-08-27_12-36-58.390, 2023-08-28_01-25-08.290, 2023-08-27_11-37-37.230, 2023-08-27_10-57-37.070, 2023-08-28_04-28-20.740, 2023-08-27_11-16-32.730, 2023-08-27_13-26-03.210, 2023-08-27_06-54-53.700, 2023-08-28_08-14-42.960, 2023-08-30_15-58-06.050, 2023-08-27_09-58-08.540, 2023-08-27_12-41-20.950, 2023-08-27_05-58-27.600, 2023-08-28_21-51-59.670, 2023-08-27_06-30-01.970, 2023-08-27_10-33-48.930, 2023-08-27_05-36-05.360, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520",Yes
2023-08-28 05:47:53,"2023-08-27_11-35-13.520, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770",No
2023-08-28 06:21:46,"2023-08-27_05-58-27.600, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-28_21-51-59.670, 2023-08-27_05-36-05.360",No
2023-08-28 08:14:47,"2023-08-28_08-14-42.960, 2023-08-28_22-11-03.590, 2023-08-27_11-35-13.520, 2023-08-30_15-58-06.050, 2023-08-28_10-25-21.180, 2023-08-27_06-30-01.970, 2023-08-27_11-16-32.730, 2023-08-29_10-21-44.840, 2023-08-30_05-59-49.670, 2023-08-27_05-58-27.600, 2023-08-29_07-44-59.430, 2023-08-27_06-54-53.700, 2023-08-27_09-58-08.540, 2023-08-29_05-49-48.530, 2023-08-29_05-25-49.600, 2023-08-27_10-10-23.770, 2023-08-30_06-13-26.140, 2023-08-29_03-07-57.930, 2023-08-27_10-26-15.050, 2023-08-27_05-36-05.360, 2023-08-27_10-33-48.930, 2023-08-27_10-36-46.980, 2023-08-27_10-57-37.070, 2023-08-28_18-47-59.200, 2023-08-28_12-58-31.740, 2023-08-28_21-51-59.670, 2023-08-27_12-36-58.390, 2023-08-28_04-28-20.740, 2023-08-28_01-25-08.290, 2023-08-28_02-44-56.290, 2023-08-27_11-37-59.620, 2023-08-27_14-02-20.400, 2023-08-27_13-26-03.210, 2023-08-27_12-41-20.950, 2023-08-27_11-55-15.880, 2023-08-27_12-50-23.490, 2023-08-27_11-46-16.910, 2023-08-27_20-07-47.140, 2023-08-28_01-58-56.490, 2023-08-27_11-37-37.230",Yes
2023-08-28 10:25:19,2023-08-28_10-25-21.180,Yes
2023-08-28 10:25:29,2023-08-28_10-25-21.180,Yes
2023-08-28 12:58:39,"2023-08-28_08-14-42.960, 2023-08-28_01-25-08.290, 2023-08-27_11-16-32.730, 2023-08-27_12-36-58.390, 2023-08-28_21-51-59.670, 2023-08-30_15-58-06.050, 2023-08-27_11-37-59.620, 2023-08-28_18-47-59.200, 2023-08-27_10-57-37.070, 2023-08-27_10-33-48.930, 2023-08-27_14-02-20.400, 2023-08-27_06-54-53.700, 2023-08-28_04-28-20.740, 2023-08-27_11-35-13.520, 2023-08-28_12-58-31.740, 2023-08-27_13-26-03.210, 2023-08-27_06-30-01.970, 2023-08-27_11-37-37.230, 2023-08-27_05-36-05.360, 2023-08-27_05-58-27.600, 2023-08-29_07-44-59.430, 2023-08-27_12-41-20.950, 2023-08-27_09-58-08.540, 2023-08-27_10-10-23.770",Yes
2023-08-28 18:48:01,"2023-08-27_11-37-37.230, 2023-08-28_18-47-59.200, 2023-08-27_20-07-47.140, 2023-08-29_05-25-49.600, 2023-08-27_09-58-08.540, 2023-08-27_10-10-23.770, 2023-08-29_07-44-59.430, 2023-08-27_11-16-32.730, 2023-08-28_21-51-59.670, 2023-08-27_11-35-13.520, 2023-08-27_06-54-53.700, 2023-08-30_15-58-06.050, 2023-08-28_12-58-31.740, 2023-08-27_05-58-27.600, 2023-08-28_01-25-08.290, 2023-08-27_10-36-46.980, 2023-08-27_11-37-59.620, 2023-08-27_05-36-05.360, 2023-08-27_11-46-16.910, 2023-08-27_12-36-58.390, 2023-08-28_04-28-20.740, 2023-08-27_10-57-37.070, 2023-08-30_05-59-49.670, 2023-08-27_12-41-20.950, 2023-08-27_10-26-15.050, 2023-08-28_08-14-42.960, 2023-08-27_06-30-01.970, 2023-08-27_13-26-03.210, 2023-08-29_10-21-44.840, 2023-08-28_02-44-56.290, 2023-08-27_14-02-20.400, 2023-08-27_10-33-48.930",Yes
2023-08-28 21:52:01,"2023-08-29_05-25-49.600, 2023-08-27_10-10-23.770, 2023-08-29_07-44-59.430, 2023-08-28_01-58-56.490, 2023-08-29_05-49-48.530, 2023-08-27_11-46-16.910, 2023-08-27_11-55-15.880, 2023-08-27_12-41-20.950, 2023-08-27_06-54-53.700, 2023-08-27_09-58-08.540, 2023-08-29_03-07-57.930, 2023-08-28_21-51-59.670, 2023-08-30_05-59-49.670, 2023-08-30_06-13-26.140, 2023-08-27_10-26-15.050, 2023-08-28_22-11-03.590, 2023-08-27_05-58-27.600, 2023-08-28_01-25-08.290, 2023-08-27_12-36-58.390, 2023-08-27_10-33-48.930, 2023-08-27_10-36-46.980, 2023-08-28_02-44-56.290, 2023-08-27_10-57-37.070, 2023-08-27_14-02-20.400, 2023-08-27_12-50-23.490, 2023-08-27_11-16-32.730, 2023-08-28_04-28-20.740, 2023-08-27_11-37-59.620, 2023-08-27_05-36-05.360, 2023-08-28_10-25-21.180, 2023-08-27_20-07-47.140, 2023-08-28_12-58-31.740, 2023-08-27_06-30-01.970, 2023-08-27_11-35-13.520, 2023-08-28_18-47-59.200, 2023-08-30_15-58-06.050, 2023-08-29_10-21-44.840, 2023-08-28_08-14-42.960, 2023-08-27_11-37-37.230, 2023-08-27_13-26-03.210",Yes
2023-08-28 22:11:07,"2023-08-27_09-58-08.540, 2023-08-28_22-11-03.590, 2023-08-27_10-10-23.770, 2023-08-27_05-58-27.600, 2023-08-28_08-14-42.960, 2023-08-27_10-33-48.930, 2023-08-27_06-54-53.700, 2023-08-27_12-41-20.950, 2023-08-28_21-51-59.670, 2023-08-27_11-35-13.520, 2023-08-27_12-36-58.390, 2023-08-27_05-36-05.360, 2023-08-27_10-57-37.070, 2023-08-27_11-16-32.730, 2023-08-29_07-44-59.430, 2023-08-27_13-26-03.210, 2023-08-28_01-25-08.290, 2023-08-27_06-30-01.970, 2023-08-28_04-28-20.740",Yes
2023-08-29 03:08:02,"2023-08-29_03-07-57.930, 2023-08-27_05-58-27.600, 2023-08-27_14-02-20.400, 2023-08-27_06-30-01.970, 2023-08-27_11-35-13.520, 2023-08-27_10-33-48.930, 2023-08-27_09-58-08.540, 2023-08-27_10-10-23.770, 2023-08-27_06-54-53.700, 2023-08-27_13-26-03.210, 2023-08-27_12-36-58.390, 2023-08-28_08-14-42.960, 2023-08-28_21-51-59.670, 2023-08-29_07-44-59.430, 2023-08-27_11-16-32.730, 2023-08-27_12-41-20.950, 2023-08-27_10-57-37.070, 2023-08-27_05-36-05.360",Yes
2023-08-29 05:06:21,"2023-08-28_18-47-59.200, 2023-08-27_12-41-20.950, 2023-08-27_11-16-32.730, 2023-08-27_10-57-37.070, 2023-08-29_07-44-59.430, 2023-08-27_09-58-08.540, 2023-08-27_10-10-23.770, 2023-08-28_08-14-42.960, 2023-08-27_11-37-37.230, 2023-08-27_11-35-13.520, 2023-08-27_05-58-27.600, 2023-08-27_05-36-05.360, 2023-08-27_06-54-53.700, 2023-08-28_21-51-59.670, 2023-08-27_10-33-48.930, 2023-08-27_12-36-58.390, 2023-08-28_01-25-08.290, 2023-08-27_06-30-01.970, 2023-08-28_04-28-20.740",No
2023-08-29 05:07:11,2023-08-29_05-07-09.160,Yes
2023-08-29 05:25:51,"2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-29_10-21-44.840, 2023-08-27_05-58-27.600, 2023-08-28_08-14-42.960, 2023-08-28_22-11-03.590, 2023-08-28_21-51-59.670, 2023-08-27_06-54-53.700, 2023-08-27_14-02-20.400, 2023-08-29_05-25-49.600, 2023-08-28_12-58-31.740, 2023-08-28_02-44-56.290, 2023-08-27_12-41-20.950, 2023-08-28_04-28-20.740, 2023-08-27_10-57-37.070, 2023-08-29_05-49-48.530, 2023-08-29_07-44-59.430, 2023-08-28_01-25-08.290, 2023-08-30_06-13-26.140, 2023-08-27_12-36-58.390, 2023-08-27_11-37-37.230, 2023-08-27_11-37-59.620, 2023-08-28_18-47-59.200, 2023-08-27_10-10-23.770, 2023-08-27_06-30-01.970, 2023-08-27_10-26-15.050, 2023-08-27_11-35-13.520, 2023-08-30_05-59-49.670, 2023-08-27_10-36-46.980, 2023-08-27_10-33-48.930, 2023-08-27_13-26-03.210, 2023-08-30_15-58-06.050, 2023-08-27_09-58-08.540",Yes
2023-08-29 05:49:52,"2023-08-27_05-58-27.600, 2023-08-27_09-58-08.540, 2023-08-27_06-54-53.700, 2023-08-29_07-44-59.430, 2023-08-27_06-30-01.970, 2023-08-29_05-49-48.530, 2023-08-27_10-33-48.930, 2023-08-27_12-36-58.390, 2023-08-28_12-58-31.740, 2023-08-27_11-16-32.730, 2023-08-27_10-57-37.070, 2023-08-27_10-36-46.980, 2023-08-27_05-36-05.360, 2023-08-28_21-51-59.670, 2023-08-28_04-28-20.740, 2023-08-27_11-37-37.230, 2023-08-27_11-35-13.520, 2023-08-30_15-58-06.050, 2023-08-27_13-26-03.210, 2023-08-27_11-37-59.620, 2023-08-28_08-14-42.960, 2023-08-27_10-10-23.770, 2023-08-27_12-41-20.950, 2023-08-27_14-02-20.400",Yes
2023-08-29 05:51:03,"2023-08-27_05-58-27.600, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770",No
2023-08-29 05:54:38,2023-08-29_05-54-32.040,Yes
2023-08-29 07:40:04,"2023-08-27_11-16-32.730, 2023-08-27_13-26-03.210, 2023-08-28_21-51-59.670, 2023-08-27_05-36-05.360, 2023-08-27_05-58-27.600, 2023-08-27_12-41-20.950, 2023-08-27_11-35-13.520, 2023-08-27_10-57-37.070, 2023-08-29_07-44-59.430, 2023-08-27_12-36-58.390, 2023-08-28_08-14-42.960, 2023-08-27_10-10-23.770, 2023-08-27_10-33-48.930",No
2023-08-29 07:45:01,"2023-08-27_14-02-20.400, 2023-08-27_12-50-23.490, 2023-08-28_12-58-31.740, 2023-08-27_11-16-32.730, 2023-08-27_06-30-01.970, 2023-08-29_10-21-44.840, 2023-08-28_04-28-20.740, 2023-08-28_10-25-21.180, 2023-08-27_11-37-37.230, 2023-08-30_15-58-06.050, 2023-08-28_08-14-42.960, 2023-08-27_11-35-13.520, 2023-08-30_05-59-49.670, 2023-08-27_11-55-15.880, 2023-08-27_11-37-59.620, 2023-08-27_09-58-08.540, 2023-08-29_05-25-49.600, 2023-08-27_12-41-20.950, 2023-08-28_01-58-56.490, 2023-08-29_05-49-48.530, 2023-08-27_10-10-23.770, 2023-08-29_03-07-57.930, 2023-08-27_13-26-03.210, 2023-08-27_20-07-47.140, 2023-08-27_10-26-15.050, 2023-08-29_07-44-59.430, 2023-08-27_12-36-58.390, 2023-08-28_22-11-03.590, 2023-08-27_06-54-53.700, 2023-08-27_05-58-27.600, 2023-08-27_05-36-05.360, 2023-08-28_21-51-59.670, 2023-08-28_02-44-56.290, 2023-08-27_10-33-48.930, 2023-08-27_10-36-46.980, 2023-08-27_11-46-16.910, 2023-08-27_10-57-37.070, 2023-08-28_18-47-59.200, 2023-08-28_01-25-08.290, 2023-08-30_06-13-26.140",Yes
2023-08-29 10:21:45,"2023-08-29_10-21-44.840, 2023-08-27_10-10-23.770, 2023-08-27_05-36-05.360, 2023-08-27_05-58-27.600, 2023-08-27_14-02-20.400, 2023-08-28_18-47-59.200, 2023-08-27_12-36-58.390, 2023-08-27_11-16-32.730, 2023-08-28_08-14-42.960, 2023-08-27_11-35-13.520, 2023-08-27_10-33-48.930, 2023-08-27_09-58-08.540, 2023-08-27_12-41-20.950, 2023-08-28_21-51-59.670, 2023-08-27_06-54-53.700, 2023-08-29_07-44-59.430, 2023-08-27_10-57-37.070",Yes
2023-08-29 10:54:35,"2023-08-27_11-35-13.520, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770",No
2023-08-29 20:31:05,2023-08-29_20-31-05.630,Yes
2023-08-30 00:51:10,"2023-08-30_00-51-10.050, 2023-08-27_10-10-23.770, 2023-08-27_11-35-13.520, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730",Yes
2023-08-30 05:59:51,"2023-08-27_14-02-20.400, 2023-08-28_21-51-59.670, 2023-08-27_11-37-59.620, 2023-08-27_10-57-37.070, 2023-08-27_05-58-27.600, 2023-08-30_06-13-26.140, 2023-08-27_10-33-48.930, 2023-08-27_10-26-15.050, 2023-08-27_11-35-13.520, 2023-08-27_05-36-05.360, 2023-08-28_04-28-20.740, 2023-08-27_11-37-37.230, 2023-08-28_08-14-42.960, 2023-08-28_18-47-59.200, 2023-08-27_10-10-23.770, 2023-08-27_12-36-58.390, 2023-08-30_15-58-06.050, 2023-08-30_05-59-49.670, 2023-08-27_09-58-08.540, 2023-08-27_12-41-20.950, 2023-08-27_06-54-53.700, 2023-08-29_07-44-59.430, 2023-08-29_10-21-44.840, 2023-08-27_11-16-32.730, 2023-08-27_13-26-03.210",Yes
2023-08-30 06:13:24,"2023-08-30_06-13-26.140, 2023-08-27_05-58-27.600, 2023-08-27_11-35-13.520, 2023-08-27_05-36-05.360, 2023-08-27_11-16-32.730, 2023-08-27_10-10-23.770",Yes
2023-08-30 06:13:34,2023-08-30_06-13-26.140,Yes
2023-08-30 10:32:15,2023-08-30_10-32-14.980,Yes
2023-08-30 15:58:04,"2023-08-30_15-58-06.050, 2023-08-27_11-16-32.730, 2023-08-28_21-51-59.670, 2023-08-27_11-37-37.230, 2023-08-27_10-33-48.930, 2023-08-28_08-14-42.960, 2023-08-27_13-26-03.210, 2023-08-27_10-57-37.070, 2023-08-27_11-35-13.520, 2023-08-27_09-58-08.540, 2023-08-30_05-59-49.670, 2023-08-27_12-41-20.950, 2023-08-27_05-58-27.600, 2023-08-27_10-10-23.770, 2023-08-27_05-36-05.360",Yes
