Detection Time (UTC),Longitude,Latitude,Folder
2023-08-27 05:36:05,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 05:58:33,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 06:54:57,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 09:58:12,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 10:10:27,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 10:11:09,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 10:33:52,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 10:57:44,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 11:16:38,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 11:35:17,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 11:37:44,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 11:55:15,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-27 12:37:02,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-28 08:14:48,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-28 21:52:01,-121.957,46.7765,2023-08-27_11-55-15.880
2023-08-29 07:45:01,-121.957,46.7765,2023-08-27_11-55-15.880
