Threshold	Number of Detections	Detection Times (UTC)
0.05	36	2023-08-27_05.36.09
0.05	36	2023-08-27_05.58.31
0.05	36	2023-08-27_06.30.04
0.05	36	2023-08-27_06.54.57
0.05	36	2023-08-27_09.58.12
0.05	36	2023-08-27_10.10.27
0.05	36	2023-08-27_10.11.04
0.05	36	2023-08-27_10.33.51
0.05	36	2023-08-27_10.36.50
0.05	36	2023-08-27_10.57.39
0.05	36	2023-08-27_10.57.41
0.05	36	2023-08-27_11.16.36
0.05	36	2023-08-27_11.35.17
0.05	36	2023-08-27_11.37.39
0.05	36	2023-08-27_11.38.03
0.05	36	2023-08-27_12.37.02
0.05	36	2023-08-27_12.41.24
0.05	36	2023-08-27_13.26.07
0.05	36	2023-08-27_14.02.24
0.05	36	2023-08-27_20.07.50
0.05	36	2023-08-28_01.25.12
0.05	36	2023-08-28_04.28.24
0.05	36	2023-08-28_08.14.45
0.05	36	2023-08-28_12.58.35
0.05	36	2023-08-28_18.48.01
0.05	36	2023-08-28_18.48.03
0.05	36	2023-08-28_21.52.03
0.05	36	2023-08-28_22.11.07
0.05	36	2023-08-29_03.08.00
0.05	36	2023-08-29_05.25.53
0.05	36	2023-08-29_05.49.52
0.05	36	2023-08-29_07.40.00
0.05	36	2023-08-29_07.45.03
0.05	36	2023-08-30_05.59.53
0.05	36	2023-08-31_15.14.18
0.05	36	2023-08-31_15.14.20
0.04	56	2023-08-27_05.36.09
0.04	56	2023-08-27_05.38.17
0.04	56	2023-08-27_05.58.31
0.04	56	2023-08-27_06.30.04
0.04	56	2023-08-27_06.30.06
0.04	56	2023-08-27_06.54.57
0.04	56	2023-08-27_09.58.12
0.04	56	2023-08-27_10.10.27
0.04	56	2023-08-27_10.11.04
0.04	56	2023-08-27_10.26.18
0.04	56	2023-08-27_10.33.51
0.04	56	2023-08-27_10.36.50
0.04	56	2023-08-27_10.54.21
0.04	56	2023-08-27_10.57.39
0.04	56	2023-08-27_10.57.41
0.04	56	2023-08-27_11.16.36
0.04	56	2023-08-27_11.35.17
0.04	56	2023-08-27_11.37.39
0.04	56	2023-08-27_11.38.03
0.04	56	2023-08-27_11.46.20
0.04	56	2023-08-27_11.55.19
0.04	56	2023-08-27_12.15.25
0.04	56	2023-08-27_12.37.02
0.04	56	2023-08-27_12.41.23
0.04	56	2023-08-27_12.50.27
0.04	56	2023-08-27_13.26.07
0.04	56	2023-08-27_14.00.20
0.04	56	2023-08-27_14.02.24
0.04	56	2023-08-27_15.13.34
0.04	56	2023-08-27_15.25.23
0.04	56	2023-08-27_20.07.50
0.04	56	2023-08-28_01.25.12
0.04	56	2023-08-28_01.59.00
0.04	56	2023-08-28_02.45.00
0.04	56	2023-08-28_04.28.24
0.04	56	2023-08-28_08.14.45
0.04	56	2023-08-28_12.58.35
0.04	56	2023-08-28_14.56.09
0.04	56	2023-08-28_18.48.01
0.04	56	2023-08-28_18.48.03
0.04	56	2023-08-28_21.00.55
0.04	56	2023-08-28_21.52.03
0.04	56	2023-08-28_22.11.07
0.04	56	2023-08-29_03.08.00
0.04	56	2023-08-29_05.06.23
0.04	56	2023-08-29_05.25.53
0.04	56	2023-08-29_05.49.52
0.04	56	2023-08-29_07.40.00
0.04	56	2023-08-29_07.45.03
0.04	56	2023-08-29_10.21.47
0.04	56	2023-08-29_10.54.38
0.04	56	2023-08-30_05.59.53
0.04	56	2023-08-30_15.58.08
0.04	56	2023-08-31_15.14.18
0.04	56	2023-08-31_15.14.20
0.04	56	2023-08-31_18.25.29
0.045	46	2023-08-27_05.36.09
0.045	46	2023-08-27_05.58.31
0.045	46	2023-08-27_06.30.04
0.045	46	2023-08-27_06.54.57
0.045	46	2023-08-27_09.58.12
0.045	46	2023-08-27_10.10.27
0.045	46	2023-08-27_10.11.04
0.045	46	2023-08-27_10.33.51
0.045	46	2023-08-27_10.36.50
0.045	46	2023-08-27_10.54.21
0.045	46	2023-08-27_10.57.39
0.045	46	2023-08-27_10.57.41
0.045	46	2023-08-27_11.16.36
0.045	46	2023-08-27_11.35.17
0.045	46	2023-08-27_11.37.39
0.045	46	2023-08-27_11.38.03
0.045	46	2023-08-27_11.46.20
0.045	46	2023-08-27_11.55.19
0.045	46	2023-08-27_12.15.25
0.045	46	2023-08-27_12.37.02
0.045	46	2023-08-27_12.41.23
0.045	46	2023-08-27_12.50.27
0.045	46	2023-08-27_13.26.07
0.045	46	2023-08-27_14.02.24
0.045	46	2023-08-27_15.13.34
0.045	46	2023-08-27_20.07.50
0.045	46	2023-08-28_01.25.12
0.045	46	2023-08-28_04.28.24
0.045	46	2023-08-28_08.14.45
0.045	46	2023-08-28_12.58.35
0.045	46	2023-08-28_14.56.09
0.045	46	2023-08-28_18.48.01
0.045	46	2023-08-28_18.48.03
0.045	46	2023-08-28_21.52.03
0.045	46	2023-08-28_22.11.07
0.045	46	2023-08-29_03.08.00
0.045	46	2023-08-29_05.25.53
0.045	46	2023-08-29_05.49.52
0.045	46	2023-08-29_07.40.00
0.045	46	2023-08-29_07.45.03
0.045	46	2023-08-29_10.21.48
0.045	46	2023-08-29_10.54.38
0.045	46	2023-08-30_05.59.53
0.045	46	2023-08-30_15.58.08
0.045	46	2023-08-31_15.14.18
0.045	46	2023-08-31_15.14.20
