Threshold	Number of Detections	Detection Times (UTC)
0.08896369670107755	10	2023-08-27_05.35.50
0.08896369670107755	10	2023-08-27_05.58.12
0.08896369670107755	10	2023-08-27_10.10.06
0.08896369670107755	10	2023-08-27_11.16.15
0.08896369670107755	10	2023-08-27_11.34.56
0.08896369670107755	10	2023-08-27_12.36.40
0.08896369670107755	10	2023-08-28_21.51.29
0.08896369670107755	10	2023-08-29_07.44.26
0.08896369670107755	10	2023-08-31_15.13.22
0.08896369670107755	10	2023-08-31_15.13.23
0.2224092417526939	2	2023-08-31_15.13.22
0.2224092417526939	2	2023-08-31_15.13.24
0.4448184835053878	1	2023-08-31_15.13.24
